client_id,date,product,balance
1001,2023-01-31,FIC,0
1001,2023-02-28,FIC,0
1001,2023-03-31,FIC,0
1001,2023-04-30,FIC,0
1001,2023-05-31,FIC,0
1001,2023-06-30,FIC,0
1001,2023-07-31,FIC,0
1001,2023-08-31,FIC,350000
1001,2023-09-30,FIC,150000
1001,2023-10-31,FIC,400000
1001,2023-11-30,FIC,1050000
1001,2023-12-31,FIC,1050000
1001,2024-01-31,FIC,1350000
1001,2024-02-29,FIC,1800000
1001,2024-03-31,FIC,1800000
1001,2024-04-30,FIC,2950000
1001,2024-05-31,FIC,2950000
1001,2024-06-30,FIC,2950000
1001,2024-07-31,FIC,2950000
1001,2024-08-31,FIC,2950000
1001,2024-09-30,FIC,4200000
1001,2024-10-31,FIC,6100000
1001,2024-11-30,FIC,8500000
1001,2024-12-31,FIC,7600000
1001,2023-01-31,CDT,1300000
1001,2023-02-28,CDT,1300000
1001,2023-03-31,CDT,1300000
1001,2023-04-30,CDT,2050000
1001,2023-05-31,CDT,2050000
1001,2023-06-30,CDT,2050000
1001,2023-07-31,CDT,2050000
1001,2023-08-31,CDT,2050000
1001,2023-09-30,CDT,2050000
1001,2023-10-31,CDT,1650000
1001,2023-11-30,CDT,1650000
1001,2023-12-31,CDT,1650000
1001,2024-01-31,CDT,1650000
1001,2024-02-29,CDT,1650000
1001,2024-03-31,CDT,2450000
1001,2024-04-30,CDT,2450000
1001,2024-05-31,CDT,3200000
1001,2024-06-30,CDT,5400000
1001,2024-07-31,CDT,5800000
1001,2024-08-31,CDT,6500000
1001,2024-09-30,CDT,6500000
1001,2024-10-31,CDT,7450000
1001,2024-11-30,CDT,7450000
1001,2024-12-31,CDT,8400000
1001,2023-01-31,ACCIONES,0
1001,2023-02-28,ACCIONES,0
1001,2023-03-31,ACCIONES,0
1001,2023-04-30,ACCIONES,0
1001,2023-05-31,ACCIONES,0
1001,2023-06-30,ACCIONES,0
1001,2023-07-31,ACCIONES,0
1001,2023-08-31,ACCIONES,0
1001,2023-09-30,ACCIONES,0
1001,2023-10-31,ACCIONES,0
1001,2023-11-30,ACCIONES,0
1001,2023-12-31,ACCIONES,0
1001,2024-01-31,ACCIONES,0
1001,2024-02-29,ACCIONES,0
1001,2024-03-31,ACCIONES,0
1001,2024-04-30,ACCIONES,0
1001,2024-05-31,ACCIONES,0
1001,2024-06-30,ACCIONES,0
1001,2024-07-31,ACCIONES,0
1001,2024-08-31,ACCIONES,0
1001,2024-09-30,ACCIONES,0
1001,2024-10-31,ACCIONES,0
1001,2024-11-30,ACCIONES,0
1001,2024-12-31,ACCIONES,0
1001,2023-01-31,FPV,0
1001,2023-02-28,FPV,0
1001,2023-03-31,FPV,0
1001,2023-04-30,FPV,0
1001,2023-05-31,FPV,0
1001,2023-06-30,FPV,0
1001,2023-07-31,FPV,0
1001,2023-08-31,FPV,0
1001,2023-09-30,FPV,0
1001,2023-10-31,FPV,0
