client_id,registration_date,age,income_monthly,segment,risk_score,avg_aum,balance,last_txn_date,txn_count,days_since_txn,tenure_months,estimated_annual_value,is_churn,churn_probability,strategy_segment
1001,2021-05-07,27,4250000,retail,0.321,1345312.5,7600000,2024-12-19,33,12,44,20179.6875,0,0.34491527065889005,4. BAJA PRIORIDAD
1001,2021-05-07,27,4250000,retail,0.321,1345312.5,8400000,2024-12-19,33,12,44,20179.6875,0,0.34491527065889005,4. BAJA PRIORIDAD
1001,2021-05-07,27,4250000,retail,0.321,1345312.5,0,2024-12-19,33,12,44,20179.6875,1,0.34491527065889005,4. BAJA PRIORIDAD
1001,2021-05-07,27,4250000,retail,0.321,1345312.5,0,2024-12-19,33,12,44,20179.6875,1,0.34491527065889005,4. BAJA PRIORIDAD
1002,2024-02-04,47,6350000,premium,0.414,1238541.6666666667,6700000,2024-12-25,64,6,11,18578.125,0,0.2985686151255374,4. BAJA PRIORIDAD
1002,2024-02-04,47,6350000,premium,0.414,1238541.6666666667,0,2024-12-25,64,6,11,18578.125,1,0.2985686151255374,4. BAJA PRIORIDAD
1002,2024-02-04,47,6350000,premium,0.414,1238541.6666666667,8850000,2024-12-25,64,6,11,18578.125,0,0.2985686151255374,4. BAJA PRIORIDAD
1002,2024-02-04,47,6350000,premium,0.414,1238541.6666666667,6450000,2024-12-25,64,6,11,18578.125,0,0.2985686151255374,4. BAJA PRIORIDAD
1003,2023-10-06,32,3800000,retail,0.223,453125.0,4150000,2024-12-10,20,21,15,6796.875,0,0.46145278704979054,4. BAJA PRIORIDAD
1003,2023-10-06,32,3800000,retail,0.223,453125.0,2450000,2024-12-10,20,21,15,6796.875,0,0.46145278704979054,4. BAJA PRIORIDAD
1003,2023-10-06,32,3800000,retail,0.223,453125.0,0,2024-12-10,20,21,15,6796.875,1,0.46145278704979054,4. BAJA PRIORIDAD
1003,2023-10-06,32,3800000,retail,0.223,453125.0,300000,2024-12-10,20,21,15,6796.875,0,0.46145278704979054,4. BAJA PRIORIDAD
1004,2022-08-27,34,3750000,retail,0.1,1116666.6666666667,4200000,2024-12-02,23,29,28,16750.0,0,0.423048650423138,4. BAJA PRIORIDAD
1004,2022-08-27,34,3750000,retail,0.1,1116666.6666666667,5050000,2024-12-02,23,29,28,16750.0,0,0.423048650423138,4. BAJA PRIORIDAD
1004,2022-08-27,34,3750000,retail,0.1,1116666.6666666667,0,2024-12-02,23,29,28,16750.0,1,0.423048650423138,4. BAJA PRIORIDAD
1004,2022-08-27,34,3750000,retail,0.1,1116666.6666666667,0,2024-12-02,23,29,28,16750.0,1,0.423048650423138,4. BAJA PRIORIDAD
1005,2023-10-11,30,3900000,retail,0.154,1144791.6666666667,7850000,2024-12-21,28,10,14,17171.875,0,0.3650213830905333,4. BAJA PRIORIDAD
1005,2023-10-11,30,3900000,retail,0.154,1144791.6666666667,2550000,2024-12-21,28,10,14,17171.875,0,0.3650213830905333,4. BAJA PRIORIDAD
1005,2023-10-11,30,3900000,retail,0.154,1144791.6666666667,1800000,2024-12-21,28,10,14,17171.875,0,0.3650213830905333,4. BAJA PRIORIDAD
1005,2023-10-11,30,3900000,retail,0.154,1144791.6666666667,800000,2024-12-21,28,10,14,17171.875,0,0.3650213830905333,4. BAJA PRIORIDAD
1006,2021-02-20,37,3700000,retail,0.221,875000.0,0,2024-08-24,27,129,47,13125.0,1,0.7459743517808729,3. DEJAR IR (No rentable)
1006,2021-02-20,37,3700000,retail,0.221,875000.0,0,2024-08-24,27,129,47,13125.0,1,0.7459743517808729,3. DEJAR IR (No rentable)
1006,2021-02-20,37,3700000,retail,0.221,875000.0,0,2024-08-24,27,129,47,13125.0,1,0.7459743517808729,3. DEJAR IR (No rentable)
1006,2021-02-20,37,3700000,retail,0.221,875000.0,0,2024-08-24,27,129,47,13125.0,1,0.7459743517808729,3. DEJAR IR (No rentable)
1007,2023-11-19,36,5200000,retail,0.22,605729.1666666666,5050000,2024-11-29,13,32,13,9085.937499999998,0,0.46387102288859144,4. BAJA PRIORIDAD
1007,2023-11-19,36,5200000,retail,0.22,605729.1666666666,750000,2024-11-29,13,32,13,9085.937499999998,0,0.46387102288859144,4. BAJA PRIORIDAD
1007,2023-11-19,36,5200000,retail,0.22,605729.1666666666,1500000,2024-11-29,13,32,13,9085.937499999998,0,0.46387102288859144,4. BAJA PRIORIDAD
1007,2023-11-19,36,5200000,retail,0.22,605729.1666666666,0,2024-11-29,13,32,13,9085.937499999998,1,0.46387102288859144,4. BAJA PRIORIDAD
1008,2023-02-18,29,16800000,premium,0.537,11391666.666666666,52900000,2024-12-28,68,3,22,170874.99999999997,0,0.1272047418459919,2. FIDELIZAR (Cuidar)
1008,2023-02-18,29,16800000,premium,0.537,11391666.666666666,10600000,2024-12-28,68,3,22,170874.99999999997,0,0.1272047418459919,2. FIDELIZAR (Cuidar)
1008,2023-02-18,29,16800000,premium,0.537,11391666.666666666,30700000,2024-12-28,68,3,22,170874.99999999997,0,0.1272047418459919,2. FIDELIZAR (Cuidar)
1008,2023-02-18,29,16800000,premium,0.537,11391666.666666666,14100000,2024-12-28,68,3,22,170874.99999999997,0,0.1272047418459919,2. FIDELIZAR (Cuidar)
1009,2023-03-25,35,2250000,retail,0.033,17708.333333333332,0,2024-06-16,25,198,21,265.625,1,0.9731148174759228,3. DEJAR IR (No rentable)
1009,2023-03-25,35,2250000,retail,0.033,17708.333333333332,0,2024-06-16,25,198,21,265.625,1,0.9731148174759228,3. DEJAR IR (No rentable)
1009,2023-03-25,35,2250000,retail,0.033,17708.333333333332,0,2024-06-16,25,198,21,265.625,1,0.9731148174759228,3. DEJAR IR (No rentable)
1009,2023-03-25,35,2250000,retail,0.033,17708.333333333332,0,2024-06-16,25,198,21,265.625,1,0.9731148174759228,3. DEJAR IR (No rentable)
1010,2022-02-24,38,3000000,retail,0.276,1410937.5,4850000,2024-12-02,30,29,34,21164.0625,0,0.3393572558578444,4. BAJA PRIORIDAD
1010,2022-02-24,38,3000000,retail,0.276,1410937.5,3050000,2024-12-02,30,29,34,21164.0625,0,0.3393572558578444,4. BAJA PRIORIDAD
1010,2022-02-24,38,3000000,retail,0.276,1410937.5,1300000,2024-12-02,30,29,34,21164.0625,0,0.3393572558578444,4. BAJA PRIORIDAD
1010,2022-02-24,38,3000000,retail,0.276,1410937.5,650000,2024-12-02,30,29,34,21164.0625,0,0.3393572558578444,4. BAJA PRIORIDAD
1011,2024-04-20,31,2850000,retail,0.3,139062.5,800000,2024-12-29,24,2,8,2085.9375,0,0.47649367501608536,4. BAJA PRIORIDAD
1011,2024-04-20,31,2850000,retail,0.3,139062.5,3000000,2024-12-29,24,2,8,2085.9375,0,0.47649367501608536,4. BAJA PRIORIDAD
1011,2024-04-20,31,2850000,retail,0.3,139062.5,0,2024-12-29,24,2,8,2085.9375,1,0.47649367501608536,4. BAJA PRIORIDAD
1011,2024-04-20,31,2850000,retail,0.3,139062.5,0,2024-12-29,24,2,8,2085.9375,1,0.47649367501608536,4. BAJA PRIORIDAD
1012,2023-09-10,44,7750000,premium,0.647,3251562.5,9600000,2024-12-27,76,4,15,48773.4375,0,0.2395676599453145,2. FIDELIZAR (Cuidar)
1012,2023-09-10,44,7750000,premium,0.647,3251562.5,13150000,2024-12-27,76,4,15,48773.4375,0,0.2395676599453145,2. FIDELIZAR (Cuidar)
